Date,AQI
2021-08-19,39.95833333
2021-08-20,47.75
2021-08-21,53.47619048
2021-08-22,56.04166667
2021-08-23,54.84615385
2021-08-24,49.45833333
2021-08-25,44.625
2021-08-26,44.47826087
2021-08-27,45.95454545
2021-08-28,35.73913043
2021-08-29,37.25
2021-08-30,51.13043478
2021-08-31,53.52173913
2021-09-01,47.47826087
2021-09-02,48.70833333
2021-09-03,42.56521739
2021-09-04,49.125
2021-09-05,38.65217391
2021-09-06,45.26086957
2021-09-07,41.45833333
2021-09-08,41.95833333
2021-09-09,43.82608696
2021-09-10,49.45833333
2021-09-11,37.04166667
2021-09-12,33.83333333
2021-09-13,33.82608696
2021-09-14,35.41666667
2021-09-15,38.58333333
2021-09-16,46.125
2021-09-17,57.0
2021-09-18,60.04166667
2021-09-19,83.65217391
2021-09-20,66.7826087
2021-09-21,45.45833333
2021-09-22,34.95652174
2021-09-23,45.375
2021-09-24,88.04347826
2021-09-25,43.25
2021-09-26,42.54166667
2021-09-27,30.54166667
2021-09-28,32.41666667
2021-09-29,36.20833333
2021-09-30,63.83333333
2021-10-01,76.43478261
2021-10-02,79.22727273
2021-10-03,53.85
2021-10-04,77.15789474
2021-10-05,59.375
2021-10-06,72.6
2021-10-07,42.83333333
2021-10-08,57.47826087
